addr:street	addr:housenumber	addr:postcode
Rajska	1	31-124
Jana Kurczaba	6	30-868
Jana Kurczaba	25	31-868
Leonida Teligi	8	30-835
Aleksandry	9A	30-837
Lilli Wenedy	15	30-833
Lilli Wenedy	11	30-833
Lilli Wenedy	3	30-833
Alberta Schweitzera	3	30-695
Ludwika Rydygiera	11	30-695
Ludwika Rydygiera	12	30-695
Białoruska	15	30-638
Westerplatte	19	31-033
Plac Szczepański	4	31-011
Plac Szczepański	3a	31-011
Floriańska	45	31-019
Gołębia	18	31-007
Plac Szczepański	1	31-011
Rynek Główny	7	31-042
Rynek Główny	29	31-008
Rynek Główny	30	31-008
Rynek Główny	32	31-008
Rynek Główny	37	31-013
Rynek Główny	38	31-013
Rynek Główny	40	31-013
Marszałka Józefa Piłsudskiego	27	31-111
Krupnicza	42	31-123
Centralna	36	31-586
Księdza Ignacego Jana Skorupki	13	31-519
Heleny	2	30-838
Wąwozowa	34	31-752
Gustawa Morcinka	13	31-762
Gustawa Morcinka	15	31-762
Gustawa Morcinka	11	31-762
Gustawa Morcinka	17	31-762
Gustawa Morcinka	9	31-762
Gustawa Morcinka	23	31-762
Kocmyrzowska	13a	31-750
Kornela Makuszyńskiego	13	31-753
Zakopiańska	58D	30-418
Zakopiańska	58C	30-418
Gustawa Ehrenberga	3	31-319
Walerego Eliasza Radzikowskiego	39A	31-315
Walerego Eliasza Radzikowskiego	51	31-315
Walerego Eliasza Radzikowskiego	51a	31-305
Słowicza	17B	31-320
Słowicza	23	31-320
Słowicza	15B	31-320
Stanisława Fishera	36	31-321
Słowicza	11	31-320
Krowoderskich Zuchów	19	31-271
Opolska	11	31-275
Krowoderskich Zuchów	5	31-271
Krowoderskich Zuchów	3a	31-271
Marszałka Józefa Piłsudskiego	29	31-111
Generała Augusta Fieldorfa-Nila	7	31-209
Generała Augusta Fieldorfa-Nila	5	31-209
Kluczborska	20	31-271
Księdza Kazimierza Siemaszki	27A	31-207
Mikołaja Reja	12	31-216
Ludwika Solskiego	1	31-216
Ludwika Solskiego	4	31-216
Ludwika Solskiego	8A	31-216
Księdza Kazimierza Siemaszki	24	31-207
Aleja 29 Listopada	56A	31-425
Macieja Miechowity	15a	31-475
XX Pijarów	7	31-466
Mirosława Dzielskiego	2	31-465
Pilotów	22	31-462
XX Pijarów	2	31-466
XX Pijarów	1	31-466
Aleja Jana Pawła II	39A	31-864
Dobrego Pasterza	116a	31-416
Generała Tadeusza Bora-Komorowskiego	9a	31-876
Generała Tadeusza Bora-Komorowskiego	15b	31-876
Generała Tadeusza Bora-Komorowskiego	33	31-876
Dobrego Pasterza	109a	31-416
Do Fortu	4	31-644
Bohdana Zaleskiego	45	31-525
Bohdana Zaleskiego	43	31-525
Bohdana Zaleskiego	47	31-525
Mogilska	68	31-523
Bohdana Zaleskiego	39	31-525
Bohdana Zaleskiego	35	31-525
Bohdana Zaleskiego	31	31-525
Bohdana Zaleskiego	27	31-525
Grunwaldzka	5	31-526
Bohdana Zaleskiego	23	31-525
Kielecka	9	31-526
Mogilska	86	31-546
Grunwaldzka	10	31-526
Bohdana Zaleskiego	26	31-525
Bohdana Zaleskiego	38	31-525
Grunwaldzka	9	31-526
Bohdana Zaleskiego	36	31-525
